OBJECTID,GUID,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,SA_PUB2011,SMALL_AREA,GEOGID,AREA,CHANGECODE,ESRI_OID,Shape__Area,Shape__Length
1,4c07d11d-f71d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18105,047014,Aultagh,047014001,047014001,A047014001,0,0,1,24611558.6229858,22550.9174088346
2,4c07d11d-f71e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18107,047034,Ballymoney,047034002,047034002,A047034002,0,0,2,11956232.2759094,21636.9470576276
3,4c07d11d-f71f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18018,047056,Boulteen,047056001,047056001,A047056001,0,0,3,9427848.72454834,16620.7573369399
4,4c07d11d-f720-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18030,047300,Teadies,047300001,047300001,A047300001,0,0,4,11369687.0024719,20382.243504115
5,4c07d11d-f564-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27157,067162,Letterfore,067162001,067162001,A067162001,0,0,5,81329822.3322449,65954.5396320049
6,4c07d11d-f565-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27026,067078,Cushkillary,067078001/067078002,067078001/067078002,A067078001/067078002,0,0,6,63844971.9468079,61781.9242241361
7,4c07d11d-f566-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29150/29130,157129/157041,Owennadornaun / Bundorragha,157041002/157041004/157041003/157041001/157129002/157129001,157041002/157041004/157041003/157041001/157129002/157129001,A157041002/157041004/157041003/157041001/157129002/157129001,0,0,7,70981069.7507324,48812.4247474742
8,4c07d11d-f567-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27151,067069,Conga,067069001,067069001,A067069001,0,0,8,24452954.5300598,36508.1365464008
9,4c07d11d-f568-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29047,157128,Abhainn Bhrain,157128002,157128002,A157128002,0,0,9,40674090.9848328,38455.6988813022
10,4c07d11d-f569-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29139,157077,Erriff,157077001/157077002,157077001/157077002,A157077001/157077002,0,0,10,82998743.4987793,52647.5542494373
11,4c07d11d-f56a-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29131,157050,Clare Island,157050001,157050001,A157050001,0,0,11,22802636.8284607,40562.1311845872
12,4c07d11d-f56b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29126,157004,Aghagower South,157004001,157004001,A157004001,0,0,12,22881515.7053223,26978.6011590781
13,4c07d11d-f56c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29133,157060,An Corrán,157060003,157060003,A157060003,0,0,13,32780888.2431641,35886.0095944338
